Taxon,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,Other names,Notes,Trophic strategy,Cell Cover,Shape,Spicule,Symmetry,Polarity,Colony,Motility,Chloroplast,Ingestion,Behavior,Mutualistic Host,Symbiotic,Symbiont location,Host Specialization,Symbiont Specialization,Prey Specialization,Mucilage,Chemical Signal,Nutrient Affinity,Oxygen Tolerance,Salinity,Temperature,Depth,Toxygenity,Benthic Phase,Cyst Spore,Sexual reproduction or division,Ploidy,Genome Size,Presence in other subeuphotic regions?,Presence in extreme environment?,Lab-based studies,Field-based studies,Sequencing,Gene expression,Genes of note,Notes on phylogenetic placement,Resources
Eukaryota,Eukaryota,NA,NA,NA,NA,NA,NA,NA,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata,Eukaryota,Alveolata,NA,NA,NA,NA,NA,NA,,"On WoRMS, Kingdom: Chromista; Subkingdom: Harosa; Infrakingdom: Alveolata ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Alveolata_X;Ellobiopsidae;Ellobiopsidae_X;Ellobiopsidae_XX;Thalassomyces;Thalassomyces_sp.;,Eukaryota,Alveolata,Alveolata_X,Ellobiopsidae,Ellobiopsidae_X,Ellobiopsidae_XX,Thalassomyces,Thalassomyces_sp.,"Thalassomyces Niezabitowski, 1913","On NCBI Taxonomy Browser, Lineage (full): cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Syndiniales; Ellobiopsidae. On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Dinozoa (Subphylum) Protalveolata (Infraphylum) Ellobiopsea (Class) Ellobiopsida (Order) Ellobiospidae (Family) Thalassomyces (Genus)",Parasitic,,,,,,,,,,,,,,Crustaceans,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Apicomplexa_XX;Apicomplexa_XXX;Apicomplexa_XXXX;Apicomplexa_XXXX_sp.;,Eukaryota,Alveolata,Apicomplexa,Apicomplexa_X,Apicomplexa_XX,Apicomplexa_XXX,Apicomplexa_XXXX,Apicomplexa_XXXX_sp.,,"Include apicoplast, with is a non-photosynthetic plastid suited (Archibald). Previously included within Kingdom: Chromista and Phylum: Myzozoa (WoRMS database). On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum). On NCBI, Lineage( full )
cellular organisms; Eukaryota; Sar; Alveolata",Parasitic,,Round,,,,,Gliding motion,,,,,,,,,,,,Most species are parasitic,,,,,,,,,,,,,,,"del Campo et al. 2019. Assessing the Diversity and Distribution of Apicomplexans in Host and Free-Living Environments Using High-Throughput Amplicon Data and a Phylogenetically Informed Reference Framework;Lack et al. 2012. Phylogeny and evolution of the Piroplasmida as inferred from 18S rRNA sequences,
International Journal for Parasitology. ",,,,"Gad M, et al. 2023. PacBio next-generation sequencing uncovers Apicomplexa diversity in different habitats. "
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,NA,NA,NA,,"Parasitic, gastrointestinal. For Eimeriidae. On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Coccidiasina (Subclass) Eucoccidiorida (Order) Eimeriorina (Suborder) Eimeriidae (Family)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;Corallicolidae,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Corallicolidae,NA,NA,,"Coral-infesting parasites. On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Corallicolida",Parasitic,,,,,,,,,,,,,Detected in mesenteries in the gastric cavity of polyps,Corals,Second most abundant symbiont of corals after dinoflagellate photosymbionts,,,,Parasitic,Low oxygen,,,"60-2224m range, rare below 700m",,,,,,,Found in some deep-sea corals in depths below the photic zone. ,Detected in mesenteries in the gastric cavity of polyps. Some of its closest relatives were recovered from anoxic marine sediment from Greenland. Suggests that corallicolids may occupy a microoxic niche in corals. ,,"Research has shown that the corallicolids have a minor impact on host (coral) fitness under normal circumstances, but increase in abundance and impact on host when corals are stressed. Such as if a coral were affected by ""white plague"" disease. Corallicolid plasts likely not involved in photosynthesis, though LIPOR genes may still be producing chlorophyll. ","Vohsen et al. 2020. Deep-sea corals provide new insight into the ecology, evolution, and the role of plastids in widespread apicomplexan symbionts of anthozoans. Microbiome 8, 34 (2020). https://doi.org/10.1186/s40168-020-00798-w;Trznadel, Morelia, et al. ""Coral-Infecting Parasites in Cold Marine Ecosystems."" Available at SSRN 4657711.",,,,
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;Eimeriidae,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Eimeriidae,NA,NA,Parent: Eimeriorina (WoRMS). Eimeriids (NCBI) ,"On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Coccidiasina (Subclass) Eucoccidiorida (Order) Eimeriorina (Suborder) Eimeriidae (Family). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Coccidia; Eucoccidiorida; Eimeriorina",Parasitic,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive ambush feeder,,Parasitic,Endo,,,,,,Parasitic,,,,,,,1,,,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida;Eimeriidae;Eimeria9,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Eimeriidae,Eimeria9,NA,,"On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Coccidiasina (Subclass) Eucoccidiorida (Order) Eimeriorina (Suborder) Eimeriidae (Family) Eimeria (Genus). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Coccidia; Eucoccidiorida; Eimeriorina; Eimeriidae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Marosporida;Aggregatidae;Aggregata;Aggregata_sp.;,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Marosporida,Aggregatidae,Aggregata,Aggregata_sp.,First named: Benedenia octopiana,"Heterogenous: 2 hosts in life cycle: cephalopod (sexual stage/definitive host) and crustacean (asexual stage). On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Coccidiasina (Subclass) Eucoccidiorida (Order) Eimeriorina (Suborder) Aggregatidae (Family) Aggregata (Genus). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Marosporida; Aggregatidae.",Parasitic,,Round,,,,,,,,,,Parasitic,Digestive tracts of cephalopods and crustaceans,Cephalopods and crustaceans,,,,,,,,,,,,macroscopically visible oocytes in the viscera of cephalopods contains thousands of sporocysts,"gamogony and sporogony within definitive host (cephalopod), merogony within cephalopod",,,Aggregata bathytherma sp. reside in the digestive tract of a deep sea octopus associated with hydroh\thermal vents in NE Pac,"Gestal C, Pascual S, Hochberg FG. (2010). Aggregata bathytherma sp. nov., a new coccidian parasite associated with deep-sea hydrothermal vent octopus. ",,,"Kopečná, et al. 2006. Phylogenetic Analysis of Coccidian Parasites from Invertebrates: Search for Missing Links, Protist, Volume 157, Issue 2, Pages 173-183, ISSN 1434-4610, https://doi.org/10.1016/j.protis.2006.02.005.",,,,"Gestal, Camino & Pascual, Santiago & Hochberg, F.G.. 2010. Aggregata bathytherma sp. nov. (Apicomplexa: Aggregatidae), a new coccidian parasite associated with a deep-sea hydrothermal vent octopus. Diseases of aquatic organisms. 91. 237-42. 10.3354/dao02264. "
Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Marosporida;Rhytidocystidae;Rhytidocystis;Rhytidocystis_cyamus;,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Marosporida, ,Rhytidocystis,Rhytidocystis_cyamus,Parent: Rhytidocystis Henneguy & Orig name: Rhytidocystis cyamus Rueckert & Leander,"On WoRMS, Chromista (Kingdom) Harosa (Subkingdom) Alveolata (Infrakingdom) Myzozoa (Phylum) Apicomplexa (Subphylum) Sporozoa (Infraphylum) Conoidasida (Class) Coccidiasina (Subclass) Agamococcidiorida (Order) Rhytidocystidae (Family) Rhytidocystis (Genus) Rhytidocystis cyamus (Species). On NCBI, Lineage( full ) cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Marosporida; Agamococcidiorida; Rhytidocystidae; Rhytidocystis",Parasitic,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,Myzocytotic,Passive Ambush Feeder,,Parasite,Endo,,,Polychaetes,,,parasitic,,,,80m ,,,1,,,,,,,,"Rueckert, S., Leander, B.S. Phylogenetic position and description of Rhytidocystis cyamus sp. n. (Apicomplexa, Rhytidocystidae): a novel intestinal parasite of the north-eastern Pacific ‘stink worm’ (Polychaeta, Opheliidae, Travisia pupa). Mar Biodiv 39, 227–234 (2009). https://doi.org/10.1007/s12526-009-0014-7",,,,
