NUM,OLD_NAME_ARCHIVE,SAMPLE_NAME,lab_num,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,primer,target_population,location_name,depth_category,depth,fluid_origin,AXIAL YEAR,lat,long,lat_long,lat_long,description_1,Description_2,DATE
1,103_AXIAL_Axial2022_IntlDistrict_PlumePeak_insitu_CTD005_S1,AXIAL_22_103_CTD005_IntlDistrict_CTD_plume_CTD005_PES02_SHIPBOARD_18S,103,CTD005,IntlDistrict,CTD,plume,CTD005,PES02,SHIPBOARD,18S,microeukaryote,International District,peak plume,1493,CTD005,AXIAL_22,45.92638333,-129.9799667,45.92638333 N -129.9799667 W,45.92638333 N -129.9799667 W,"Sample collected from the plume, peak plume, at International District, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/10/22
2,105_AXIAL_Axial2022_Anemone_0_insitu_1434HSF15_S5,AXIAL_22_105_J21434_Anemone_HFS_vent_1434HSF15_PES02_SHIPBOARD_18S,105,J21434,Anemone,HFS,vent,1434HSF15,PES02,SHIPBOARD,18S,microeukaryote,Anemone,diffuse,1540,1434HSF15,AXIAL_22,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Anemone, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/9/22
3,106_AXIAL_Axial2022_IntlDistrict_PlumeBottom_insitu_CTD005_S6,AXIAL_22_106_CTD005_IntlDistrict_CTD_plume_CTD005_PES02_SHIPBOARD_18S,106,CTD005,IntlDistrict,CTD,plume,CTD005,PES02,SHIPBOARD,18S,microeukaryote,International District,under plume,1505,CTD005,AXIAL_22,45.92638333,-129.9799667,45.92638333 N -129.9799667 W,45.92638333 N -129.9799667 W,"Sample collected from the plume, under plume, at International District, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/10/22
4,107_AXIAL_Axial2022_IntlDistrict_PlumeTop_insitu_CTD005_S7,AXIAL_22_107_CTD005_IntlDistrict_CTD_plume_CTD005_PES02_SHIPBOARD_18S,107,CTD005,IntlDistrict,CTD,plume,CTD005,PES02,SHIPBOARD,18S,microeukaryote,International District,plume top,1492,CTD005,AXIAL_22,45.92638333,-129.9799667,45.92638333 N -129.9799667 W,45.92638333 N -129.9799667 W,"Sample collected from the plume, plume top, at International District, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/10/22
5,111_AXIAL_Axial2022_ASHES_plume_insitu_CTD003_S8,AXIAL_22_111_CTD003_ASHES_CTD_plume_CTD003_PES02_SHIPBOARD_18S,111,CTD003,ASHES,CTD,plume,CTD003,PES02,SHIPBOARD,18S,microeukaryote,ASHES,peak plume,1533,CTD003,AXIAL_22,45.925,-130.0495,45.925 N -130.0495 W,45.925 N -130.0495 W,"Sample collected from the plume, peak plume, at ASHES, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/21/23
6,112_AXIAL_Axial2022_ASHES_plume_insitu_1434HSF6_S9,AXIAL_22_112_CTD003_ASHES_CTD_plume_CTD003_PES02_SHIPBOARD_18S,112,CTD003,ASHES,CTD,plume,CTD003,PES02,SHIPBOARD,18S,microeukaryote,ASHES,peak plume,1533,CTD003,AXIAL_22,45.925,-130.0495,45.925 N -130.0495 W,45.925 N -130.0495 W,"Sample collected from the plume, peak plume, at ASHES, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/21/23
7,113_AXIAL_Axial2022_Anemone_0_insitu_1434HSF6_S10,AXIAL_22_113_J21434_Anemone_HFS_vent_1434HSF6_PES02_INSITU_18S,113,J21434,Anemone,HFS,vent,1434HSF6,PES02,INSITU,18S,microeukaryote,Anemone,diffuse,1540,1434HSF6,AXIAL_22,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Anemone, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 16S rRNA primers to target the prokaryotepopulation.",7/9/22
8,114_AXIAL_Axial2022_Anemone_0_insitu_1434HSF7_S11,AXIAL_22_114_J21434_Anemone_HFS_vent_1434HSF7_PES02_INSITU_18S,114,J21434,Anemone,HFS,vent,1434HSF7,PES02,INSITU,18S,microeukaryote,Anemone,diffuse,1540,1434HSF7,AXIAL_22,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Anemone, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/9/22
9,000_HUBERLAB_ControlTreatment_07162024_R1_postPCR_18S_S53,AXIAL_23_01blank_HUBERLAB_ControlTreatment_Lab_control_REP1_postPCR_SHIPBOARD_18S,01blank,HUBERLAB,ControlTreatment,Lab,control,REP1,postPCR,SHIPBOARD,18S,microeukaryote,Lab control,7162024,0,REP1,AXIAL_23,na,,na,na,"Sample collected from the control, 7162024, at Lab control, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",na
10,000_HUBERLAB_ControlTreatment_07162024_R2_postPCR_18S_S90,AXIAL_23_02blank_HUBERLAB_ControlTreatment_Lab_control_REP2_postPCR_SHIPBOARD_18S,02blank,HUBERLAB,ControlTreatment,Lab,control,REP2,postPCR,SHIPBOARD,18S,microeukaryote,Lab control,7162024,0,REP2,AXIAL_23,na,,na,na,"Sample collected from the control, 7162024, at Lab control, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",na
11,129_HUBERLAB_ControlTreatment_06202024_0_sterivex_18S_S12,AXIAL_23_129_HUBERLAB_ControlTreatment_Lab_control__sterivex_SHIPBOARD_CTRL,129,HUBERLAB,ControlTreatment,Lab,control,,sterivex,SHIPBOARD,CTRL,microeukaryote,Lab control,6202024,0,,AXIAL_23,na,,na,na,"Sample collected from the control, 6202024, at Lab control, in Axial Seamount. DNA extracted and amplified with CTRL primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 16S rRNA primers to target the prokaryotepopulation.",na
12,130_J21502_BagCity_SUPR_B3016_sterivex_18S_S2,AXIAL_23_130_J21505_BagCity_SUPR_vent_B316_sterivex_SHIPBOARD_18S,130,J21505,BagCity,SUPR,vent,B316,sterivex,SHIPBOARD,18S,microeukaryote,Bag City,diffuse,1528,B316,AXIAL_23,45.916228,-129.989225,45.916228 N -129.989225 W,45.916228 N -129.989225 W,"Sample collected from the vent, diffuse, at Bag City, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 16S rRNA primers to target the prokaryotepopulation.",7/24/23
13,133_J21503_Diva_SUPR_0_sterivex_18S_S3,AXIAL_23_133_J21503_Diva_SUPR_vent_SUPRbottle_sterivex_SHIPBOARD_18S,133,J21503,Diva,SUPR,vent,SUPRbottle,sterivex,SHIPBOARD,18S,microeukaryote,Diva,diffuse,1518,SUPRbottle,AXIAL_23,45.926378,-129.979065,45.926378 N -129.979065 W,45.926378 N -129.979065 W,"Sample collected from the vent, diffuse, at Diva, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/22/23
14,134_J21502_Mkr33_UFO_shipboard_sterivex_18S_S4,AXIAL_23_134_J21502_Mkr33_UFO_vent_shipboard_sterivex_SHIPBOARD_18S,134,J21502,Mkr33,UFO,vent,shipboard,sterivex,SHIPBOARD,18S,microeukaryote,Marker 33,diffuse,1512,shipboard,AXIAL_23,45.933121,-129.982332,45.933121 N -129.982332 W,45.933121 N -129.982332 W,"Sample collected from the vent, diffuse, at Marker 33, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/21/23
