Feature ID	Taxon	Consensus
0000e859a2a2065ab75f3ce9fbcbbdea	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	1.0
000562094e0ee78d5f488dff4c48c294	Unassigned	1.0
0007e900482f921a3c5f749920f0be7c	Unassigned	1.0
0009645516609bda2246e1955ff9ec1d	Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_2;Acantharea_2b;Acantharea_2b_X;Acantharea_2b_X_sp.;	1.0
000ee37747b75c12d7108ddf5c5cf3ea	Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;Discotrichidae;Discotrichidae_X;Discotrichidae_X_sp.;	1.0
00123cd8fd43a6285e7ed1847fef39a3	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3;Dino-Group-II-Clade-3_X;Dino-Group-II-Clade-3_X_sp.;	1.0
00165708dab37d750eb573b1720ff8bd	Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata;	1.0
0016c92095329cf769d2fc9f5a0b826c	Eukaryota;TSAR;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnida;Chlorarachnida_X;Lotharella	1.0
001bb596f5d12e1d7c1af94e44f558f8	Unassigned	1.0
00245a2adeb23d5fdec462a1fa01dd50	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	1.0
0024760a130d14a29d63bb07f082733e	Unassigned	1.0
0028a3a1ee1aaeb1b2f74e08929defab	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;	1.0
